GameID,Season,Date,Team,Home/Away,Opp,Outcome,HomeScore,OppScore,TotalScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TotalReb%,AST%,STL%,BLK%,eFG,TOV%,ORB%,FTperFGA,eFGagainst,TOVagainst,DRB%,FTperFGAallowed
112,2017,12/18/17,ATL,Home,MIA,W,110,104,214,112,105.8,98.3,0.373,0.265,0.569,48.1,65.8,8.1,11.1,0.506,11,22.7,0.313,0.5,17.1,78.4,0.316
113,2017,12/20/17,ATL,Home,IND,L,95,105,200,106.7,117.9,89,0.247,0.358,0.529,53.8,77.1,5.6,9.8,0.481,12.6,27.5,0.21,0.53,9.1,80,0.22
114,2017,12/22/17,ATL,Away,OKC,L,117,120,237,121.1,124.2,96.6,0.2,0.376,0.633,40.3,63.6,12.4,5.3,0.606,14,21.9,0.165,0.616,16.6,57.1,0.232
115,2017,12/23/17,ATL,Home,DAL,W,112,107,219,121.5,116,92.2,0.293,0.32,0.661,55.9,69,5.4,3.8,0.627,15,20.7,0.24,0.559,9.8,82.1,0.141
116,2017,12/27/17,ATL,Home,WAS,W,113,99,212,117.7,103.1,96,0.309,0.394,0.529,57,68.3,7.3,12.3,0.495,9.3,34,0.213,0.488,12.3,80.4,0.247
117,2017,12/29/17,ATL,Away,TOR,L,98,111,209,100.9,114.3,97.1,0.227,0.273,0.506,48.5,55.3,6.2,10.3,0.483,15.7,30.4,0.148,0.5,9.2,64.2,0.057
118,2017,12/30/17,ATL,Home,POR,W,104,89,193,111.8,95.7,93,0.169,0.337,0.544,49.5,72.5,12.9,5,0.528,12,29.5,0.112,0.465,18.1,68.1,0.118
119,2017,1/2/18,ATL,Away,PHO,L,103,104,207,108,109,95.4,0.287,0.356,0.526,46,50,11.5,5.5,0.471,14,32.1,0.241,0.552,19.2,67.6,0.247
120,2017,1/5/18,ATL,Away,POR,L,89,110,199,93.7,115.9,94.9,0.301,0.313,0.473,47,46.7,7.4,10,0.41,14.5,22.4,0.253,0.619,14.8,82.4,0.138
121,2017,1/7/18,ATL,Away,LAL,L,113,132,245,105.6,123.3,107.1,0.245,0.362,0.543,43,53.7,4.7,8,0.5,12.6,18.9,0.202,0.651,15.7,81.8,0.233
122,2017,1/8/18,ATL,Away,LAC,L,107,108,215,107.2,108.2,99.9,0.302,0.385,0.492,54.4,52.6,9,11.9,0.448,11.4,36.5,0.219,0.5,13.8,72.5,0.271
123,2017,1/10/18,ATL,Away,DEN,W,110,97,207,113.5,100.1,96.9,0.225,0.338,0.626,52.4,62.5,6.2,6.9,0.575,15.4,18.8,0.225,0.447,10.4,73.1,0.126
124,2017,1/12/18,ATL,Home,BRK,L,105,110,215,106.4,111.5,98.6,0.325,0.35,0.574,51.7,56.8,6.1,5.7,0.531,16.4,21.1,0.25,0.534,12.5,74.5,0.195
125,2017,1/15/18,ATL,Home,SAS,W,102,99,201,108.5,105.3,94,0.163,0.291,0.553,57.5,57.5,8.5,3.1,0.517,14,27.5,0.151,0.471,8.6,83,0.195
126,2017,1/17/18,ATL,Home,NOP,W,94,93,187,105.4,104.2,89.2,0.146,0.449,0.496,50,86.5,5.6,5.7,0.472,9.5,26.1,0.112,0.5,12,77.5,0.163
127,2017,1/20/18,ATL,Home,CHI,L,97,113,210,95.1,110.8,102,0.25,0.522,0.475,48.4,77.1,4.9,8.3,0.44,11.3,17,0.174,0.588,15.2,90,0.238
128,2017,1/22/18,ATL,Home,UTA,W,104,90,194,109.9,95.1,94.6,0.145,0.313,0.589,53,60,8.5,8.2,0.554,16.1,23.8,0.145,0.461,15.3,82.9,0.263
129,2017,1/24/18,ATL,Home,TOR,L,93,108,201,90.7,105.3,102.5,0.181,0.223,0.458,47.5,51.4,7.8,17,0.431,13.6,23.1,0.128,0.517,14.5,74.5,0.18
130,2017,1/26/18,ATL,Away,CHO,L,110,121,231,109.5,120.5,100.4,0.316,0.38,0.611,47.6,62.2,6,9.3,0.563,18.2,15.8,0.266,0.528,9.7,75,0.318
131,2017,1/27/18,ATL,Home,WAS,L,104,129,233,111,137.7,93.7,0.239,0.489,0.535,45.7,63.2,2.1,7.5,0.5,11,26.2,0.182,0.682,11.6,75,0.153
132,2017,1/29/18,ATL,Home,MIN,W,105,100,205,109.1,103.9,96.2,0.203,0.43,0.61,55.7,69.2,8.3,12.5,0.576,19.6,22.2,0.177,0.512,12.5,83.7,0.181
